Name,Created,Related to Workflows (Column),Tags
Beginner,"Jul 2, 2020 9:25 AM","Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Teaching%20Data%20Science%20ec1cfb11f6e6477abe89260d9e14ecb7.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Getting%20Started%20acd4b96e9a20433d933b940d65f60423.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Setting%20up%20useful%20OCaml%20tools%20for%20my%20editor%20fe47e509d4d445129d16f4688255d1c9.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Finding%20answers%20to%20your%20questions%2062b1d4859b9d47f491ba8aacb3bb4bf7.md",language
Teachers,"Jul 3, 2020 9:25 AM","Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Teaching%20Data%20Science%20ec1cfb11f6e6477abe89260d9e14ecb7.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Getting%20Started%20acd4b96e9a20433d933b940d65f60423.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Setting%20up%20useful%20OCaml%20tools%20for%20my%20editor%20fe47e509d4d445129d16f4688255d1c9.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Finding%20answers%20to%20your%20questions%2062b1d4859b9d47f491ba8aacb3bb4bf7.md",language
Application Developers,"Jul 8, 2020 9:59 AM","Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Setting%20up%20Continuous%20Integration%20for%20your%20Project%20d9e5ae419f03401da5ee3b285d52bb83.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Keeping%20your%20code%20clean%207443e9c915104226840b1e0a19cd9cd8.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Adding%20units%20tests%20to%20your%20project%20a53ff6e7d3914ff89fad69fa603a309a.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Setting%20up%20useful%20OCaml%20tools%20for%20my%20editor%20fe47e509d4d445129d16f4688255d1c9.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Incorporating%20non%20OCaml%20code%20into%20your%20project%20e14df2f2cdff4b20a2dce9990f11130f.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Compiling%20for%20Y%20on%20X%204909055b78bc45c2b3100e492fbd97a9.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Publishing%20a%20package%20on%20opam%20d52e9232c46748c09f7e92cbdc4d0e71.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Running%20OCaml%20in%20your%20browser%2038cd804e828a4cb08ac30941165fc610.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Profiling%20my%20project%20a81dca8f1fd8430b80cffe8f62c7db33.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Checking%20code%20coverage%20bfba2da357fd4cd097f16d8821dffda0.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Meta%20programming%20with%20PPX%2040be46b47adf449da741758ba4f314c8.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Releasing%20new%20versions%20of%20your%20project%20on%20opam%20d30cea1d32a7402e8350da4878aceeec.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Finding%20answers%20to%20your%20questions%2062b1d4859b9d47f491ba8aacb3bb4bf7.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Fuzz%20testing%20your%20project%20b40ab641b028407f8b376e69469088c9.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Untitled%202350484af08543a38c8b783f586ca67e.md",development
Library Authors,"Jul 8, 2020 9:59 AM","Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Setting%20up%20Continuous%20Integration%20for%20your%20Project%20d9e5ae419f03401da5ee3b285d52bb83.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Keeping%20your%20code%20clean%207443e9c915104226840b1e0a19cd9cd8.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Initialising%20a%20new%20Library%20Project%208fdc35b6abf14e03aa52b2635bc1ca8d.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Adding%20units%20tests%20to%20your%20project%20a53ff6e7d3914ff89fad69fa603a309a.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Setting%20up%20useful%20OCaml%20tools%20for%20my%20editor%20fe47e509d4d445129d16f4688255d1c9.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Incorporating%20non%20OCaml%20code%20into%20your%20project%20e14df2f2cdff4b20a2dce9990f11130f.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Publishing%20a%20package%20on%20opam%20d52e9232c46748c09f7e92cbdc4d0e71.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Fixing%20Bugs%20in%203rd%20Party%20Packages%20d641254bf929446e868a872c7b3fbb39.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Profiling%20my%20project%20a81dca8f1fd8430b80cffe8f62c7db33.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Checking%20code%20coverage%20bfba2da357fd4cd097f16d8821dffda0.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Meta%20programming%20with%20PPX%2040be46b47adf449da741758ba4f314c8.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Releasing%20new%20versions%20of%20your%20project%20on%20opam%20d30cea1d32a7402e8350da4878aceeec.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Finding%20answers%20to%20your%20questions%2062b1d4859b9d47f491ba8aacb3bb4bf7.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Fuzz%20testing%20your%20project%20b40ab641b028407f8b376e69469088c9.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Untitled%202d0b3c81187d46e9af716acdf9e1eee3.md",development
End User,"Jul 2, 2020 9:25 AM","Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Using%20tools%20built%20in%20OCaml%20a084f722570e46f0b24083d5a3c3a131.md, Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Finding%20answers%20to%20your%20questions%2062b1d4859b9d47f491ba8aacb3bb4bf7.md",installation
Distribution Manager,"Jul 2, 2020 9:26 AM",Workflows%202047bb379aec4ed99f1b00b94fbf6a1d/Finding%20answers%20to%20your%20questions%2062b1d4859b9d47f491ba8aacb3bb4bf7.md,installation
User,"Jul 8, 2020 5:20 PM",,
